"old","new"
"2231","221267"
"2231","221101"
"2231","221290"
"2232","226201"
"2232","226202"
"2232","226203"
"2232","226204"
"2232","226205"
"2232","226206"
"2232","226207"
"2232","226208"
"2232","226209"
"2232","226101"
"2232","226290"
"2233","225101"
"2233","225201"
"2233","225202"
"2233","225203"
"2233","225204"
"2233","225205"
"2233","225206"
"2233","225207"
"2233","225208"
"2233","225209"
"2233","225210"
"2233","225211"
"2233","225212"
"2233","225213"
"2233","225214"
"2233","225215"
"2233","225216"
"2233","225217"
"2234","228103"
"2234","228104"
"2234","228105"
"2234","228106"
"2234","228101"
"2234","228108"
"2234","228107"
"2234","228109"
"2234","228111"
"2234","228112"
"2234","228102"
"2234","228110"
"2234","228190"
"2239","227101"
"2239","227204"
"2239","227201"
"2239","227202"
"2239","227203"
"2239","227205"
"2239","227206"
"2239","227207"
"2239","227208"
"2239","227209"
"2239","227210"
"2239","227211"
"2239","227212"
"2239","227213"
"2239","227290"
"2239","228901"
"2239","228301"
"2239","228501"
"2239","228502"
"2239","228503"
"2239","228504"
"2239","228601"
"2239","228202"
"2239","242226"
"2239","224001"
"2239","263407"
"2239","228906"
"2239","228907"
"2239","228204"
"2239","228908"
"2239","228903"
"2239","228904"
"2239","228902"
"2239","228990"
"2241","222101"
"2241","222202"
"2241","222203"
"2241","222204"
"2241","222205"
"2241","222206"
"2241","222207"
"2241","222208"
"2241","222209"
"2241","222210"
"2241","222211"
"2241","222212"
"2241","222213"
"2241","222214"
"2241","222215"
"2241","222216"
"2241","222217"
"2241","222218"
"2241","222219"
"2241","222220"
"2241","222221"
"2241","222201"
"2241","222222"
"2241","222290"
"2242","223101"
"2242","223202"
"2242","223203"
"2242","223204"
"2242","223205"
"2242","223206"
"2242","223201"
"2242","223207"
"2242","223290"
"2311","231001"
"2311","231002"
"2311","231003"
"2311","231004"
"2311","231005"
"2311","231006"
"2311","231007"
"2311","231008"
"2311","231009"
"2311","231010"
"2311","231011"
"2311","231012"
"2311","231013"
"2311","231014"
"2311","231015"
"2311","231016"
"2311","231017"
"2311","231018"
"2311","231019"
"2311","231020"
"2311","231021"
"2311","231090"
"2321","233001"
"2321","233002"
"2321","233003"
"2321","233004"
"2321","233005"
"2321","233006"
"2321","233007"
"2321","235601"
"2321","233008"
"2321","233009"
"2321","233010"
"2321","233011"
"2321","233013"
"2321","233014"
"2321","233012"
"2321","233015"
"2321","233016"
"2321","233017"
"2321","232002"
"2321","232003"
"2321","232004"
"2321","232005"
"2321","232006"
"2321","232007"
"2321","233018"
"2321","233020"
"2321","233021"
"2321","233023"
"2321","233025"
"2321","233024"
"2321","233019"
"2321","233022"
"2321","233090"
"2321","232090"
"2331","234101"
"2331","234102"
"2331","234103"
"2331","234104"
"2331","234105"
"2331","234106"
"2331","234107"
"2331","234109"
"2331","234110"
"2331","234108"
"2331","234111"
"2331","234112"
"2331","234113"
"2331","234114"
"2331","234115"
"2331","234116"
"2331","234117"
"2331","234118"
"2331","234190"
"2332","234201"
"2341","235201"
"2341","235203"
"2341","235204"
"2341","235205"
"2341","235202"
"2341","235290"
"2351","235105"
"2351","235106"
"2351","235101"
"2351","235901"
"2351","235102"
"2351","235103"
"2351","235990"
"2351","235190"
"2352","235109"
"2353","235903"
"2353","235990"
"2359","235904"
"2359","235905"
"2359","235906"
"2359","235908"
"2359","235909"
"2359","235401"
"2359","235503"
"2359","235910"
"2359","235912"
"2359","235914"
"2359","235915"
"2359","242401"
"2359","235301"
"2359","235302"
"2359","235303"
"2359","235304"
"2359","235305"
"2359","235902"
"2359","235306"
"2359","235907"
"2359","235911"
"2359","235390"
"2359","235990"
"2359","235913"
"2359","234202"
"2411","263101"
"2411","263102"
"2412","241101"
"2412","242210"
"2412","241304"
"2412","241306"
"2412","241103"
"2412","241104"
"2412","241105"
"2412","241106"
"2412","241307"
"2412","241201"
"2412","241308"
"2412","241309"
"2412","241301"
"2412","241302"
"2412","241202"
"2412","241390"
"2412","241303"
"2412","241305"
"2412","241310"
"2413","242301"
"2413","242303"
"2413","242304"
"2413","242309"
"2413","242490"
"2413","242402"
"2413","242403"
"2413","242310"
"2413","242307"
"2413","242302"
"2413","242305"
"2413","242306"
"2413","242390"
"2413","242308"
"2413","242311"
"2413","242312"
"2414","244101"
"2414","244102"
"2414","244103"
"2414","244190"
"2419","242212"
"2419","242204"
"2419","241204"
"2419","242190"
"2419","242105"
"2419","243303"
"2419","243306"
"2419","242216"
"2419","214210"
